"","Project","Description","Result_Title","indicator","type_result","Quarter","Status","Modified_Time","ID","value","Type","Implementor","Country","Component"
"11","UK-China Green Finance Programme","Strategic sector mapping and feasibility study elaborated by Syer, which has identified a number of sustainable hubs in key areas of China. The exercise has also helped identify several UK companies with solutions that fit the Chinese market. There are ongoing governance discussions with the Chinese about how to accelerate market access for these firms.
Among the key objectives of the UK-China GreenTech project was raising awareness of the commercial growth opportunities for UK-based companies to access cleantech growth opportunities in Chinese markets. This study led by Syer has resulted in a better understanding of areas with market potential in China, and options for how a fund could be designed.
By summarising the key China market opportunities, the report enables UK firms to take an informed view on where and how to position their entry into the market in China. The deep dive into core sectors of interest - Energy, Water and Wastewater, Food and Agriculture, Built Environment, Circular Economy and Mobility - highlights:
• Macro-level drivers for change and the types of technology innovation that will contribute to improving sector sustainability.
• A RAG-based analysis of the likely commercial viability of technologies in the Chinese context, based on key investment parameters (supporting policy and regulation, technology maturity, scalability, replicability etc).
• A review of the UK innovation pipeline for each sector, including examples of innovators who have developed solutions at different stages of sector supply chains (e.g. production, distribution, consumption, disposal).
To enable technology transfer to take place and these opportunities to scale, Syer also provides important insights into the type of institutional support required. Focusing on the key features of fund design and processes necessary for success, the strengths and drawbacks of three different fund structuring options (co-investment with China onshore, shared offshore, UK-led) were analysed. This analysis points to a UK-initiated approach as having the potential to deliver the most value-added opportunities at lowest risk. 
Consequently, the proposed mechanism for supporting market access is to set-up an advisory board, leveraging existing networks under the Programme. The Advisory Board will be placed to meet periodically to evaluate technical constraints and package advice to interested UK firms on an as needs basis.
The setup of an incubator as the vehicle for facilitating market entry has been revisited due to 1) a more granular and strategic view on market access and 2) current macro- and micro-economic conditions making it unlikely firms will be in a position to set up in the immediate term in new markets. 
An alternative mechanism being explored is to establish a dedicated GreenTech advisory board to engage with interested firms, evaluate barriers and take forward policy or other supportive measures to facilitate market access. ","Strategic mapping exercise of Chinese green hubs","Output 3.1. 'Knowledge product developed'","Output","2019 Q2","Approved","25-May-2020 13:14:50","3814659000000281193",1,"In_reported","City of London","China","Component 1: bilateral programme fund"
"12","UK-China Green Finance Programme","The UK-China TCFD pilot on climate and environmental disclosures was established in 2017 to pilot TCFD reporting. This was the first TCFD pilot for China and it was expected that it would inform the direction of China’s environmental disclosure guidelines, enabling China-UK exchange on effective implementation of TCFD. Originally a year, it was extended to three years, with 2019 being the second year of implementation. 
This second year focused on implementation against the principles agreed under the UK-China Disclosure Pilot Working Group Action Plan (published Autumn 2018), including expectations that disclosures use comparable indicators, and achieve higher disclosure targets year on year. During this second year there was a strengthening of networks on climate and environmental disclosure as a result of the expansion of the pilot in China-side participants, as well as increasing ambition among institutions on their disclosures. In particular, during 2019, three additional firms were added to the pilot: PICC Property and Casualty Company Limited, Ping An Insurance (Group) Company of China and AVIC Trust Co.Ltd. This expansion of the pilot translated into an increased influence, and nowadays the pilot supports disclosures from not just banking institutions but also the Chinese insurance and asset management sectors. This provides useful examples for other firms to look to in considering how to make disclosures.","Strengthening of the first UK-China TFCD pilot group","Output 4. 'Network created/strenghtened'","Output","2019 Q3","Approved","25-May-2020 13:48:45","3814659000000294015",1,"In_reported","City of London","China","Component 1: bilateral programme fund"
"13","UK-China Green Finance Programme","The UK-China Green Finance Centre was formally acknowledged during the tenth Economic and Financial Dialogue (EFD) between the UK and China which was held in London in June 2019. ","Acknowledgement of the 'Centre'","Int. Out. 5. 'Adoption of knowledge/communication product'","Intermediate Outcome","2019 Q2","Approved","25-May-2020 14:26:06","3814659000000477015",1,"In_reported","City of London","China","Component 1: bilateral programme fund"
"14","Colombia Climate Finance Accelerator Follow-Up","In mid-April 2020, the CFA consortium created a short document outlining the steps they see as most appropriate to build on the CFA pilot and grow the pipeline of climate projects in Colombia. So rather than providing the tool itself, the project has provided a document with recommendations on how to construct this tool. Those recommendations include: a strategy for prioritizing sectors and sub-sectors based on emissions mitigation impact; a climate finance landscape mapping exercise to identify relevant providers of finance and technical assistance that could be relevant to the projects CFA is seeking to promote and identify any obvious gaps in provision; creation of a CFA Secretariat to advance the role of private sector actors in achieving the Colombia NDC through creating a pipeline of climate projects and improving access to innovative financing opportunities. ","Assessment tool for project adequacy","Output 3.1. 'Knowledge product developed'","Output","2020 Q2","Approved","25-May-2020 16:57:56","3814659000000449027",1,"In_reported","The Climate Group (TCG)","Colombia","Component 1: bilateral programme fund"
"15","Colombia Climate Finance Accelerator Follow-Up","A webinar on the context and activities of the CFA Colombia initiative, lessons learned, and which recommendations can be adopted by subnational governments in order to support their climate project objectives was conducted on April 28th, 2020.  Eighteen governments attended the webinar from multiple continents. TCG has already received requests for related projects from members. It also provided additional visibility for the CFA program - many of the attendees are located in countries targeted for the global CFA.
The webinar was important to amplify the education of policymakers regarding the importance of blended finance and the potential role of private finance in achieving their climate goals. It also sparked interest in many governments in how they might run similar processes in their own jurisdictions. This is important to multiply the impact of the CFA Colombia. 	
","Dissemination to the wider Under2 Coalition","Output 3.2. 'Communication product disseminated'","Output","2020 Q2","Approved","25-May-2020 16:58:07","3814659000000449031",1,"In_reported","The Climate Group (TCG)","Colombia","Component 1: bilateral programme fund"
"16","The Green Performance Premium: examining historical green asset performance and the contribution of ESG-practices to micro- and macro-economic performance","Following the current research findings (consolidated across three main research papers), the Oxford Sustainable Finance Programme at the University of Oxford and the International Institute of Green Finance at the Central University of Finance and Economics (CUFE) have agreed that they intend to further explore 1) the brown loan effect on bank financial performance and 2) the mechanisms underlying the positive relationships between micro-ESG performance and macro-economic growth.
Further investigation of brown loan effect on finanical risk is equally important for banks and financial institutions to address increased transition risks arising from a borrower’s environmental exposure. The project has already collected brown loan data from Dealogic and bank ESG report, and bank financial performance data from Bankscope for the period 2013-2018. 	

","Partnership between the University of Oxford and CUFE on sustainable finance","Output 4. 'Network created/strenghtened'","Output","2020 Q1","Approved","26-May-2020 11:03:03","3814659000000471015",1,"In_reported","University of Oxford	","China","Component 1: bilateral programme fund"
"17","Urban Road Map to improve urban logistics in Mexico City ","Steer developed a roadmap to address existing challenges on urban freight management in Mexico City. The recommendations are focused on how to effectively enhance the management of urban logistics to contribute to improvements in air quality through reduced emissions and congestion within the city.
Building a roadmap that includes a strategy was key as there had been previous efforts in the city to address the challenges of urban logistics, but the result had only been partial programmes or studies that had no results. This study is the baseline for a strategy that could lead to a public policy in the city. 
","Recommendations that address the gaps, a prioritized action plan ","Output 2.1. 'Recommendation proposed for policy/legislation'","Output","2019 Q2","Approved","27-May-2020 10:03:47","3814659000000053036",1,"In_reported","Steer","Mexico","Component 1: bilateral programme fund"
"18","Urban Road Map to improve urban logistics in Mexico City ","Steer conducted a research study on international good practices in urban freight logistics. The study included a detailed analysis of secondary data and interviews with key stakeholders to identify the current challenges and alternative solutions for urban logistics in Mexico City. This research was divided into three main sections: 1) the impact of inefficient urban logistics on traffic and emissions, 2) best practices in urban freight logistics from the UK and Latin America, and 3) identification of feasible solutions with the potential to be applied in Mexico's context. The study also analyzed the level of investment that would be required to implement some of these recommendations. The findings helped Mexico City’s Ministry of Mobility (SEMOVI) to identify alternative pathways to be implemented in the short term","Research on good practices in urban logistics","Output 3.1. 'Knowledge product developed'","Output","2019 Q2","Approved","27-May-2020 10:05:20","3814659000000053021",1,"In_reported","Steer","Mexico","Component 1: bilateral programme fund"
"19","Urban Road Map to improve urban logistics in Mexico City ","Steer held several meetings (bi-weekly) with SEMOVI,  the Economic Development Secretary (SEDECO), the Urban Development and Housing Secretary (SEDUVI), and the Environment secretary (SEDEMA) to request key information and ongoingly present the results of the study. During these meetings, the stakeholders addressed initiatives and potential actions to consider upgrading logistic freight operations in the metropolitan area. Meetings with the private sector were also key for the study. One to one meeting helped for the buy in of the project by key organizations of the logistics sector in Mexico such as: ANTP, CONALOG, ANPACT, CANACAR, AMACARGA.

Engaging the private sector was important because they considered that they had not been considered for decision making before, this represented the first approach between authorities and the private sector in this matter. On the other hand, their involvement was key to provide key inputs for the construction of the roadmap and helped prioritize recommendations in the short, medium, and large term.
As a result of the dissemination of the results of this project, the embassy’s relationship with other donors (IDB and GIZ) has been strengthened ","Network with the CDMX government ","Output 4. 'Network created/strenghtened'","Output","2019 Q2","Approved","27-May-2020 10:07:19","3814659000000053028",1,"In_reported","Steer","Mexico","Component 1: bilateral programme fund"
"20","Urban Road Map to improve urban logistics in Mexico City ","As a result of the study ‘international good practices in urban logistics’, the recommendations to improve urban logistic and the creation of a strategic network, the government of Mexico City has decided to conduct a pilot project in the Historic Centre in the next months to test the efficacy of the recommendations to improve the urban logistics and consequently reduce congestions and emissions within the city. Moreover, this project has derived in the interest of other parties to work on pilot projects; Steer has been approached by the authority and the private sector to identify how they could design and implement another pilot project to improve freight logistics in the Municipality of Azcapotzalco.","Recommendations agreed by CDMX government ","Int. Out 2. 'Adoption of recommendation for policy/legislation'","Intermediate Outcome","2019 Q2","Approved","27-May-2020 10:08:57","3814659000000287011",1,"In_reported","Steer","Mexico","Component 1: bilateral programme fund"
"21","Urban Road Map to improve urban logistics in Mexico City ","During 2019, due to exceptional poor air quality conditions, SEMOVI gave part of the recommendations given by Steer on how to improve urban freight logistics to the Central Government to consider as part of an emergency strategy to improve the very poor air quality conditions. As a result, some of the recommendations related to the city’s freight strategy were implemented during this contingency. It is expected that the results from the pilot and the implementation during the contingency will be the bases of the development of the freight strategy of the city which will contribute to the reductions of emissions. ","A  long-lasting change in urban logistics ","Outcome 2. 'Recommendation implemented'","Outcome","2019 Q4","Approved","27-May-2020 10:14:44","3814659000000480003",1,"In_reported","Steer","Mexico","Component 1: bilateral programme fund"
"22","Updating Mexico’s Climate Change Policies","Carbon Trust developed a methodological guide to help the SEMARNAT and other National Ministries that are part of the Inter-Ministerial Commission on Climate Change. The  guide includes 35 factsheets containing an analysis of the activities and contributions of each entity (Ministry, Undersecretary, or body) in relation to the Nationally Determined Contribution (NDC), as well as recommendations and best international climate change practices which Mexico could adopt in the development of their new sectoral programs.
The guide includes 1) The objectives, strategies, and lines of action of each Sectorial/Institutional or Structural Programme; 2) The relation between each line of action with climate change; 3) the sectorial lines of action that were directly involved in the PECC; 4) what type of action it was (whether it was policy, mitigation or adaptation); and 5) the relationship with the NDC objectives.
According to CT, identifying the relationships of these actions with the NDC is a first of its kind effort that enhances the possibility of developing tangible actions and to develop efforts at the intersectoral level, even for funding activities.","Methodological guide on best practices and sectorial plans","Output 2.1. 'Recommendation proposed for policy/legislation'","Output","2019 Q2","Approved","29-May-2020 09:47:02","3814659000000053065",1,"In_reported","Carbon Trust	","Mexico","Component 1: bilateral programme fund"
"23","Updating Mexico’s Climate Change Policies","Upon the successful and timely delivery of the methodological guide and factsheets, the SEMARNAT has been using it as a key input for their internal planning process and for the coordination with other Ministries. Having a methodological guide like the one developed by CT, is helping the SEMARNAT and other ministries to decide which type of lines of action could be used for the new Special Programme of Climate Change.
It is expected that the recommendations the project will be included in the cross-cutting actions related to climate change in the new sectoral programmes for 2019 – 2024 and in new actions in the Special Programme of Climate Change (PECC) and the new Climate Change Strategy ).","Climate change commitments included in NDP","Int. Out 2. 'Adoption of recommendation for policy/legislation'","Intermediate Outcome","2019 Q2","Approved","29-May-2020 09:48:16","3814659000000453003",1,"In_reported","Carbon Trust	","Mexico","Component 1: bilateral programme fund"
"24","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","An additional training session in Guangzhou with the project partner China Emissions Exchange Guangzhou (CEEX) took place. 
The session was titled 'Climate Change Risks and Opportunities and Disclosure Seminar, and the topics covered, were among others: 
- Analysis of international climate change risks and opportuinities; 
- Trends and implications of climate change disclosure; and 
- CDP questionnaires. 
The workshop had representatives from companies, financial institutions, and the government. Among others: Guangdong Province Ecological and Climate Change Exchange and Cooperation Office, Guangzhou City Huadu District Finance Bureau, British Consulate-General Guangzhou Energy and Climate Change Policy, Ping An Insurance (Group) Ltd, E-fund Management , Bank of Guangzhou, Guangzhou Agriculture and Commercial Bank, Chuangxing Bank Guangzhou Branch, Da Ye Trust, Guangzhou Huadu Fund Management, China Southern Airlines, Guangzhou Heng Yun General Energy Selling Company, Guangzhou Development Electricity Group
The decision on conducting this additional capacity building activity in Guangzhou came from the fact that Guangzhou is in an advanced stage of environmental disclosure and tackling climate change, and it was necessary to meet market demands for advanced training on the matter in the region. ","Additional training in Guangzhou","Output 1. 'Training of key actors'","Output","2019 Q3","Approved","03-Jun-2020 09:27:36","3814659000000365019",1,"In_reported","CDP","China","Component 1: bilateral programme fund"
"25","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","The modelled data package for GHG emissions data was completed as planned. The goal is that this data will help FIs evaluate the carbon footprint within their portfolio. 
The model was shared with the 6 FIs with which CDP is involved, and during Q1 2020, CDP continued to support them in two additional ways: i) by advancing their own disclosure and ii) providing them with an analysis of the market for investment and other purposes. ","Modelled data package for GHG emissions","Output 3.1. 'Knowledge product developed'","Output","2019 Q3","Approved","03-Jun-2020 09:28:05","3814659000000046027",1,"In_reported","CDP","China","Component 1: bilateral programme fund"
"26","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","A total of 452 stakeholders (for which gender was not recorded) were trained across six workshops delivered in Q1, Q2 and Q3 of 2019. One workshop in Beijing, three in Shanghai, one in Guangzhou, and one in Shenzen. 
The following topics, among others, were covered by these trainings: 
- Environmental information disclosure and requirements from regulators;
- TCFD indicators and ESG rating;
- HK Stock Exchange ESG regulations and Supply Chain Management; and
- CDP questionnaire methodology.
Each workshop had  a duration of one day. 
Some of the organisations who attended the trainings are: Lujiazui Financial City, China Institution of Capital and Financial Markets, Shanghai Zijiang International Trade Company, Huaxi Biotechnology Company, Syntao Consulting Company, Shanghai Chuangyuan Cosmestic Company, Stanley Black & Decker, Inc., ICBC.","Three workshops on TCFD disclosure and ESG investments","Output 1. 'Training of key actors'","Output","2019 Q2","Approved","03-Jun-2020 09:28:27","3814659000000046011",1,"In_reported","CDP","China","Component 1: bilateral programme fund"
"27","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","The anthology of 20 in-depth case studies on disclosure practices was completed in Q4 of 2019 and includes both general case studies and detailed analysis of particular ones. 
These studies have the aim of introducing how international FIs report on TCFD-aligned disclosure and how Environmental, Social and Governance (ESG) factors are integrated into each business.
The case studies were developed collaboratively with FIs and listed companies. 
During the first quarter of 2020, the team further refined the case studies compiled in 2019 based on UK FCO’s feedback. 
The main objective of this anthology of case studies is to respond to the large demand from Chinese FIs to learn about global best practices of FIs on climate-related disclosure. ","Anthology of 20 best practice case studies","Output 3.1. 'Knowledge product developed'","Output","2019 Q4","Approved","03-Jun-2020 09:29:53","3814659000000046007",1,"In_reported","CDP","China","Component 1: bilateral programme fund"
"28","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","The Guangdong Green Finance Committee launched the Guangdong - Hong Kong - Macao Great Bay Area Environmental Information Disclosure Initiative in Hong Kong on 14 January 2019.  
Five financial institutions signed the initiative on -site, including Guangzhou Bank, Guangzhou Rural Commercial Bank, Chong Hing Bank, Guangzhou Securities, and Daye Trust. 
Around 200 stakeholders attended the launch event. Some key participants were the director of Guangdong Financial Supervisory Authority, Deputy Mayor of Guangzhou, Hong Kong Stock Exchange representative, Deutsche Exchange representative, and the President of China Emission Exchange Guangzhou (CEEX). 
Since the launch of the initiative, activities to deepen engagement with the five FI signatories, as well as seeking new participants, have been undertaken. 
The Great Bay Area has been a pioneer in environmental disclosure and has received a strong support from local government on the matter, that is why the project chose to implement the initiative in the region. 
In the last quarter of 2019, and with the invitation by the British Consulate Guangzhou – General, CDP contributed to the 3rd International Sustainability Conference in Guangdong, where the team shared about Environmental, Social and Governance (ESG) disclosure and development of the TCFD initiative in the Greater Bay Area. The conference had 100+ participants from various industries, which enhanced the engagement of the initiative in the region.","TCFD-aligned environmental disclosure initiative","Output 4. 'Network created/strenghtened'","Output","2019 Q2","Approved","03-Jun-2020 09:34:11","3814659000000046023",1,"In_reported","CDP","China","Component 1: bilateral programme fund"
"29","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","Along 2019, a total of 48 listed companies expressed an interest in reporting in alignment with the TCFD, through CDP's 2019 questionnaire. Among those 48 companies, there were 7 financial institutions with a total market capital of about USD 678 billion: 4 banks (Bank of Communication, China Citic Bank, China Construction Bank, Postal Savings Bank of China), 2 insurance companies (Ping An, PICC) and 1 asset manager (Huatai Securities). ","Interest of financial institutions and listed companies to report in alignment with the TCFD framework","Int. Out. 1 'Enhanced action because of training'","Intermediate Outcome","2019 Q4","Approved","03-Jun-2020 09:34:32","3814659000000379104",1,"In_reported","CDP","China","Component 1: bilateral programme fund"
"30","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","Some early signs of increased capacity for shifting towards a low carbon economy have been observed. Among the FIs which responded to CDP's questionnaire in 2019, Ping An Insurance Group scored B as a first time responder, which shows that they are advanced in managing climate related issues and have started the transition towards a low carbon economy. The rest of the responding FIs indicated that they are aware of the importance of financed emissions and are developing different tools and analysing available methodologies to make progress on the topic.
Moreover, both Ping An Insurance Company and ICBC have published their Green Finance report in 2019 which was benchmarked against TCFD recommendations. This marked as a milestone to show that Chinese FIs have the capacity to benchmark against international standards and ready for more advanced ESG disclosure.
From the regulators' point of view, the CSRC has made some mandatory requirements for the listed companies to disclose environmental information. By the end of May 2019, almost 20% of the 3600 public listed companies on Chinese stock market were subject to such mandatory requirements. CSRC paid attention to international common practices, especially ESG disclosure requirements, and established the following elements as the focus of future regulation: standardization, progressiveness, prudence, and effectiveness. 
This increased capacity is believed it would further encourage and advance financial institutions and listed companies to transform China's economy into a more sustainable one.","Increased capacity of Chinese regulators and FIs for environmental disclosure","Outcome 1. 'Increased capacity for relevant organisations'","Outcome","2020 Q1","Approved","03-Jun-2020 10:09:43","3814659000000475011",1,"In_reported","CDP","China","Component 1: bilateral programme fund"
"31","UK-China Green Finance Programme","The UK-China TCFD pilot has supported 13 Chinese financial innovators to move up the curve on climate and environmental disclosure. ","Adoption of TFCD practices","Int. Out. 1 'Enhanced action because of training'","Intermediate Outcome","2020 Q1","Approved","03-Jun-2020 10:16:11","3814659000000477011",1,"In_reported","City of London","China","Component 1: bilateral programme fund"
"32","UK-China Green Finance Programme","The website for the UK-China Green Finance Centre was made accessible at https://www.greenfinanceinstitute.co.uk/uk-china/ in the second quarter of 2019. The website provides a publicly accessible entry point to UK-China cooperation on green finance, and a key channel for knowledge dissemination. 
However, starting 2020, online communications content for the UK-China Green Finance Centre and UK Green Finance Institute were separated to reflect current governance and facilitate development of operational content. The updated website for the UK-China Green Finance Centre is now https://www.ukchinagreen.org/ 
Since the end of 2019, media engagement with 'the Centre' increased by advertising the UK China Green Finance showcase event which took place on December 10th, 2019. The event received media coverage in the Global Times, China Daily and Xinhua. The European Bank for Reconstruction and Development (EBRD) also wrote a blog post on climate resilience and posted it on the website. ","Website and other communication strategies","Output 3.2. 'Communication product disseminated'","Output","2019 Q2","Approved","03-Jun-2020 12:14:10","3814659000000294011",1,"In_reported","City of London","China","Component 1: bilateral programme fund"
"33","UK-China Green Finance Programme","The UK China Green Finance showcase event was hosted on December 10th, 2019 at SEB with more than 50 attendees. Opening remarks came from Sir Roger Gifford (SEB) and Leila Pourarkin (BEIS). Panellists included Rongrong Huo (Investec), Esteban Abad (Syer), Kenton Liang Zong (Bank of China) and Farnam Bidgoli (HSBC). 
The event successfully showed recognition of the UK-China partnerships and presented plans for next year. The UK-China Green Finance showcase event served as an important communication milestone under the China Green Finance Programme. The event convened financial institutions, investment advisors, asset managers and professional services firms on emerging trends and opportunities on several priority topics. The showcase gave particular attention to ESG investing and scaling up of green capital markets and to greening investments and build climate resilience under the GIP, bringing together different participants on the UK and China side to explore what further work can be undertaken in the lead-up to the COP26 Climate Summit.  ","UK China Green Finance showcase event","Output 3.2. 'Communication product disseminated'","Output","2019 Q4","Approved","03-Jun-2020 12:14:31","3814659000000445003",1,"In_reported","City of London","China","Component 1: bilateral programme fund"
"34","Sustaining the Growth of China’s Green Bond Market and Facilitating Inter-Country Green Capital Flows","The project provided recommendations to two local governments to help them build their local green bond markets and scale up green bonds’ issuance at the local level. Recommendations focused mainly on definitions around 'green' projects and/or assets, and also included information from international green standards and their practicality in the China/local context.
The first set of recommendations was provided to the Chengdu municipal government in June 2019, on their drafting of assessment guidelines for green projects and/or company assets. In the first quarter of 2020, the project also provided recommendations to the Guangdong government on the design of a green finance framework for the Guangdong-Hong Kong-Macau Greater Bay Area development. 
The focus on local and municipal-level policy actions are a much-needed 'bottom-up' mobilization to complement the often 'top-down' approach in China's economic decision making. It allows decision-makers to move from national-level planning to providing more evidence-based, tailor-made policies and incentives at the local level to better direct capitals to the low-carbon sector. These policy recommendations aim to ensure that the local governments are better equipped to set up robust standards to better guide fiscal resources and private capital to green investment.","Policy recommendations on policy incentives to local governments","Output 2.1. 'Recommendation proposed for policy/legislation'","Output","2020 Q1","Approved","03-Jun-2020 14:02:31","3814659000000480007",1,"In_reported","Climate Bonds Initiative	","China","Component 1: bilateral programme fund"
